Warning: The created OpenGL context does not fully meet the settings that were requested
Requested: version = 1.1 ; depth bits = 0 ; stencil bits = 0 ; AA level = 0 ; core = false ; debug = false ; sRGB = false
Created: version = 0.0 ; depth bits = 0 ; stencil bits = 0 ; AA level = 0 ; core = false ; debug = false ; sRGB = false
Setting vertical sync failed
magnitude;type;tk
2.06591;0;0.0018
2.06591;0;0.0018
2.06591;1;0.0018
2.06591;1;0.0018
2.06591;2;0.0018
2.08251;0;0.0018
2.08251;0;0.0018
2.08251;0;0.0018
2.08251;1;0.0018
2.08251;1;0.0018
2.14146;0;0.0018
2.14146;0;0.0018
2.14146;0;0.0018
2.14146;1;0.0018
2.14146;1;0.0018
2.11053;0;0.0018
2.11053;0;0.0018
2.11053;0;0.0018
2.11053;1;0.0018
2.11053;1;0.0018
10.1813;0;0.0018
10.1813;0;0.0018
10.1813;0;0.0018
10.1813;0;0.0018
10.1813;1;0.0018
10.1813;2;0.0018
10.1315;0;0.0018
10.1315;0;0.0018
10.1315;0;0.0018
10.1315;0;0.0018
10.1315;1;0.0018
10.1315;2;0.0018
0.00793557;0;0.0018
0.00793557;1;0.0018
0.00793557;1;0.0018
2.06591;0;0.0019
2.06591;0;0.0019
2.06591;0;0.0019
2.06591;1;0.0019
2.06591;1;0.0019
2.06591;2;0.0019
2.08251;0;0.0019
2.08251;0;0.0019
2.08251;0;0.0019
2.08251;1;0.0019
2.08251;1;0.0019
2.14146;0;0.0019
2.14146;0;0.0019
2.14146;0;0.0019
2.14146;1;0.0019
2.14146;1;0.0019
2.11053;0;0.0019
2.11053;0;0.0019
2.11053;0;0.0019
2.11053;1;0.0019
2.11053;1;0.0019
11.4549;0;0.0019
11.4549;0;0.0019
11.4549;0;0.0019
11.4549;0;0.0019
11.4549;1;0.0019
11.4549;2;0.0019
11.4051;0;0.0019
11.4051;0;0.0019
11.4051;0;0.0019
11.4051;0;0.0019
11.4051;1;0.0019
11.4051;2;0.0019
0.00888842;0;0.0019
0.00888842;1;0.0019
0.00888842;1;0.0019
2.06591;0;0.002
2.06591;0;0.002
2.06591;0;0.002
2.06591;1;0.002
2.06591;1;0.002
2.06591;2;0.002
2.08251;0;0.002
2.08251;0;0.002
2.08251;0;0.002
2.08251;1;0.002
2.08251;1;0.002
2.14146;0;0.002
2.14146;0;0.002
2.14146;0;0.002
2.14146;1;0.002
2.14146;1;0.002
2.11053;0;0.002
2.11053;0;0.002
2.11053;0;0.002
2.11053;1;0.002
2.11053;1;0.002
12.803;0;0.002
12.803;0;0.002
12.803;0;0.002
12.803;0;0.002
12.803;1;0.002
12.803;2;0.002
12.7532;0;0.002
12.7532;0;0.002
12.7532;0;0.002
12.7532;0;0.002
12.7532;1;0.002
12.7532;2;0.002
0.00888937;0;0.002
0.00888937;1;0.002
0.00888937;1;0.002
2.06591;0;0.0021
2.06591;0;0.0021
2.06591;0;0.0021
2.06591;1;0.0021
2.06591;1;0.0021
2.06591;2;0.0021
2.08251;0;0.0021
2.08251;0;0.0021
2.08251;0;0.0021
2.08251;1;0.0021
2.08251;1;0.0021
2.14146;0;0.0021
2.14146;0;0.0021
2.14146;0;0.0021
2.14146;1;0.0021
2.14146;1;0.0021
2.11053;0;0.0021
2.11053;0;0.0021
2.11053;0;0.0021
2.11053;1;0.0021
2.11053;1;0.0021
14.2255;0;0.0021
14.2255;0;0.0021
14.2255;0;0.0021
14.2255;0;0.0021
14.2255;1;0.0021
14.2255;2;0.0021
14.1757;0;0.0021
14.1757;0;0.0021
14.1757;0;0.0021
14.1757;0;0.0021
14.1757;1;0.0021
14.1757;2;0.0021
0.00889032;0;0.0021
0.00889032;0;0.0021
0.00889032;1;0.0021
0.00889032;1;0.0021
2.06591;0;0.0022
2.06591;0;0.0022
2.06591;0;0.0022
2.06591;1;0.0022
2.06591;1;0.0022
2.06591;2;0.0022
2.08251;0;0.0022
2.08251;0;0.0022
2.08251;0;0.0022
2.08251;1;0.0022
2.08251;1;0.0022
2.08251;2;0.0022
2.14146;0;0.0022
2.14146;0;0.0022
2.14146;0;0.0022
2.14146;1;0.0022
2.14146;1;0.0022
2.11053;0;0.0022
2.11053;0;0.0022
2.11053;0;0.0022
2.11053;1;0.0022
2.11053;1;0.0022
